Date,IDs,Longitude,Latitude,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Time,Road_Type,Speed_limit,Junction_Control,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area
12/09/2012,611,611,611,611,611,611,611,611,611,394,611,611,611,611,609,611
12/10/2012,660,660,660,660,660,660,660,660,660,449,660,660,660,660,658,660
12/11/2012,577,577,577,577,577,577,577,577,577,363,577,577,577,577,576,577
12/12/2012,414,414,414,414,414,414,413,414,414,252,414,414,414,414,413,414
13/01/2012,631,631,631,631,631,631,631,631,631,427,631,631,631,631,630,631
13/02/2012,447,447,447,447,447,447,447,447,447,304,447,447,447,447,447,447
13/03/2012,490,490,490,490,490,490,490,490,490,329,490,490,490,490,490,490
13/04/2012,475,475,475,475,475,475,475,475,475,308,475,475,475,475,475,475
13/05/2012,392,392,392,392,392,392,392,392,392,234,392,392,392,392,391,392
13/06/2012,507,507,507,507,507,507,507,507,507,337,507,507,507,507,507,507
13/07/2012,539,539,539,539,539,539,539,539,539,326,539,539,539,539,538,539
13/08/2012,338,338,338,338,338,338,338,338,338,211,338,338,338,338,338,338
13/09/2012,547,547,547,547,547,547,547,547,547,351,547,547,547,547,547,547
13/10/2012,459,459,459,459,459,459,459,459,459,291,459,459,459,459,459,459
13/11/2012,471,471,471,471,471,471,471,471,471,287,471,471,471,471,471,471
13/12/2012,514,514,514,514,514,514,514,514,514,290,514,514,514,514,514,514
14/01/2012,457,457,457,457,457,457,457,457,457,296,457,457,457,457,456,457
14/02/2012,436,436,436,436,436,436,436,436,436,279,436,436,436,436,436,436
14/03/2012,445,445,445,445,445,445,445,445,445,287,445,445,445,445,445,445
14/04/2012,361,361,361,361,361,361,361,361,361,235,361,361,361,361,360,361
14/05/2012,506,506,506,506,506,506,506,506,506,354,506,506,506,506,506,506
14/06/2012,462,462,462,462,462,462,462,462,462,282,462,462,462,462,462,462
14/07/2012,442,442,442,442,442,442,442,442,442,265,442,442,442,442,441,442
14/08/2012,477,477,477,477,477,477,477,477,477,298,477,477,477,477,477,477
14/09/2012,565,565,565,565,565,565,565,565,565,351,565,565,565,565,565,565
14/10/2012,413,413,413,413,413,413,413,413,413,234,413,413,413,413,412,413
14/11/2012,527,527,527,527,527,527,527,527,527,357,527,527,527,527,526,527
14/12/2012,662,662,662,662,662,662,662,662,662,410,662,662,662,662,660,662
15/01/2012,356,356,356,356,356,356,356,356,356,225,356,356,356,356,356,356
15/02/2012,438,438,438,438,438,438,438,438,438,267,438,438,438,438,436,438
15/03/2012,511,511,511,511,511,511,511,511,511,330,511,511,511,511,509,511
15/04/2012,361,361,361,361,361,361,361,361,361,210,361,361,361,361,361,361
15/05/2012,521,521,521,521,521,521,521,521,521,318,521,521,521,521,520,521
15/06/2012,574,574,574,574,574,574,574,574,574,368,574,574,574,574,570,574
15/07/2012,443,443,443,443,443,443,443,443,443,248,443,443,443,443,441,443
15/08/2012,501,501,501,501,501,501,501,501,501,286,501,501,501,501,501,501
15/09/2012,537,537,537,537,537,537,537,537,537,332,537,537,537,537,533,537
15/10/2012,487,487,487,487,487,487,487,487,487,325,487,487,487,487,486,487
15/11/2012,507,507,507,507,507,507,507,507,507,329,507,507,507,507,506,507
15/12/2012,439,439,439,439,439,439,439,439,439,283,439,439,439,439,438,439
16/01/2012,678,678,678,678,678,678,678,678,678,434,678,678,678,678,678,678
16/02/2012,492,492,492,492,492,492,492,492,492,300,492,492,492,492,489,492
16/03/2012,445,445,445,445,445,445,445,445,445,269,445,445,445,445,444,445
16/04/2012,440,440,440,440,440,440,440,440,440,299,440,440,440,440,438,440
16/05/2012,494,494,494,494,494,494,494,494,494,304,494,494,494,494,494,494
16/06/2012,480,480,480,480,480,480,480,480,480,315,480,480,480,480,480,480
16/07/2012,484,484,484,484,484,484,484,484,484,301,484,484,484,484,483,484
16/08/2012,466,466,466,466,466,466,466,466,466,291,466,466,466,466,466,466
16/09/2012,365,365,365,365,365,365,365,365,365,205,365,365,365,365,365,365
16/10/2012,576,576,576,576,576,576,576,576,576,391,576,576,576,576,573,576
16/11/2012,536,536,536,536,536,536,536,536,536,324,536,536,536,536,536,536
16/12/2012,384,384,384,384,384,384,384,384,384,198,384,384,384,384,383,384
17/01/2012,582,582,582,582,582,582,582,582,582,374,582,582,582,582,582,582
17/02/2012,539,539,539,539,539,539,539,539,539,338,539,539,539,539,539,539
17/03/2012,476,476,476,476,476,476,476,476,476,280,476,476,476,476,475,476
17/04/2012,527,527,527,527,527,527,527,527,527,332,527,527,527,527,527,527
17/05/2012,511,511,511,511,511,511,511,511,511,313,511,511,511,511,511,511
17/06/2012,352,352,352,352,352,352,352,352,352,206,352,352,352,352,352,352
17/07/2012,494,494,494,494,494,494,494,494,494,316,494,494,494,494,493,494
17/08/2012,508,508,508,508,508,508,508,508,508,324,508,508,508,508,508,508
17/09/2012,481,481,481,481,481,481,481,481,481,314,481,481,481,481,479,481
17/10/2012,660,660,660,660,660,660,660,660,660,432,660,660,660,660,658,660
17/11/2012,431,431,431,431,431,431,431,431,431,243,431,431,431,431,431,431
17/12/2012,573,573,573,573,573,573,573,573,573,356,573,573,573,573,571,573
18/01/2012,519,519,519,519,519,519,519,519,519,343,519,519,519,519,519,519
18/02/2012,398,398,398,398,398,398,398,398,398,233,398,398,398,398,396,398
18/03/2012,399,399,399,399,399,399,399,399,399,228,399,399,399,399,399,399
